,fecha,origen,destino,periodo,distancia,viajes
3821465,20200214,2807905,2807901,12,002-005,7.273
3821466,20200214,2807905,2807901,12,005-010,10.365
3821467,20200214,2807905,2807901,16,002-005,6.705
3821468,20200214,2807905,2807901,17,002-005,6.894
3821469,20200214,2807905,2807901,17,005-010,3.236
3821470,20200214,2807905,2807901,21,002-005,6.894
3821471,20200214,2807905,2807901,23,005-010,7.13
3821472,20200214,2807905,2807901,18,002-005,3.256
3821473,20200214,2807905,2807901,13,002-005,4.346
3821474,20200214,2807905,2807901,13,005-010,5.884
3821475,20200214,2807905,2807901,14,002-005,8.717
3821476,20200214,2807905,2807901,15,002-005,5.917
3821477,20200214,2807905,2807901,17,002-005,7.563
3821478,20200214,2807905,2807901,18,002-005,5.034
3821479,20200214,2807905,2807901,19,002-005,5.747
3821480,20200214,2807905,2807901,22,002-005,5.917
3821481,20200214,2807905,2807901,23,005-010,6.324
3821482,20200214,2807905,2807901,2,005-010,3.732
3821483,20200214,2807905,2807901,10,002-005,12.346
3821484,20200214,2807905,2807901,11,002-005,7.734
3821485,20200214,2807905,2807901,12,002-005,3.532
3821486,20200214,2807905,2807901,14,002-005,7.388
3821487,20200214,2807905,2807901,16,002-005,5.49
3821488,20200214,2807905,2807901,17,005-010,5.912
3821489,20200214,2807905,2807901,18,002-005,3.732
3821490,20200214,2807905,2807901,18,005-010,3.205
3821491,20200214,2807905,2807901,19,002-005,5.344
3821492,20200214,2807905,2807901,22,002-005,7.047
3821493,20200214,2807905,2807901,4,002-005,4.753
3821494,20200214,2807905,2807901,8,002-005,5.252
3821495,20200214,2807905,2807901,10,005-010,3.991
3821496,20200214,2807905,2807901,15,002-005,3.715
3821497,20200214,2807905,2807901,17,005-010,3.991
3821498,20200214,2807905,2807901,9,002-005,5.255
3821499,20200214,2807905,2807901,10,005-010,5.085
3821500,20200214,2807905,2807901,12,002-005,4.645
3821501,20200214,2807905,2807901,14,002-005,11.429
3821502,20200214,2807905,2807901,16,005-010,4.76
3821503,20200214,2807905,2807901,19,002-005,5.824
3821504,20200214,2807905,2807901,22,002-005,4.21
3821505,20200214,2807905,2807901,23,002-005,13.197
3821506,20200214,2807905,2807901,14,005-010,7.451
3821507,20200214,2807905,2807901,15,002-005,5.351
3821508,20200214,2807905,2807901,18,002-005,7.722
3821509,20200214,2807905,2807901,19,002-005,5.41
3821510,20200214,2807905,2807901,19,005-010,8.549
3821511,20200214,2807905,2807901,22,002-005,7.469
3821512,20200214,2807905,2807901,12,005-010,5.008
3821513,20200214,2807905,2807901,16,002-005,5.11
3821514,20200214,2807905,2807901,19,002-005,3.432
3821515,20200214,2807905,2807901,8,002-005,5.982
3821516,20200214,2807905,2807901,11,002-005,6.02
3821517,20200214,2807905,2807901,13,005-010,6.02
3821518,20200214,2807905,2807901,14,005-010,5.103
3821519,20200214,2807905,2807901,18,002-005,5.231
3821520,20200214,2807905,2807901,20,002-005,5.966
3821521,20200214,2807905,2807901,21,002-005,12.441
3821522,20200214,2807905,2807901,14,002-005,5.551
3821523,20200214,2807905,2807901,16,005-010,4.361
3821524,20200214,2807905,2807901,17,002-005,4.361
3821525,20200214,2807905,2807901,20,002-005,2.763
3821526,20200214,2807905,2807901,3,002-005,4.104
3821527,20200214,2807905,2807901,9,002-005,3.586
3821528,20200214,2807905,2807901,9,005-010,9.786
3821529,20200214,2807905,2807901,10,002-005,10.867
3821530,20200214,2807905,2807901,11,002-005,4.172
3821531,20200214,2807905,2807901,12,002-005,7.757
3821532,20200214,2807905,2807901,14,002-005,5.291
3821533,20200214,2807905,2807901,15,002-005,22.237
3821534,20200214,2807905,2807901,15,005-010,8.868
3821535,20200214,2807905,2807901,16,002-005,13.968
3821536,20200214,2807905,2807901,17,002-005,4.143
3821537,20200214,2807905,2807901,17,005-010,5.155
3821538,20200214,2807905,2807901,18,002-005,10.681
3821539,20200214,2807905,2807901,20,002-005,5.155
3821540,20200214,2807905,2807901,20,005-010,2.751
3821541,20200214,2807905,2807901,21,002-005,23.166
3821542,20200214,2807905,2807901,23,002-005,4.104
3821543,20200214,2807905,2807901,23,005-010,4.725
3821544,20200214,2807905,2807901,0,002-005,5.391
3821545,20200214,2807905,2807901,8,002-005,9.781
3821546,20200214,2807905,2807901,12,005-010,5.022
3821547,20200214,2807905,2807901,13,002-005,5.022
3821548,20200214,2807905,2807901,14,002-005,5.022
3821549,20200214,2807905,2807901,14,005-010,5.391
3821550,20200214,2807905,2807901,15,002-005,6.883
3821551,20200214,2807905,2807901,15,005-010,6.185
3821552,20200214,2807905,2807901,16,002-005,5.605
3821553,20200214,2807905,2807901,17,002-005,13.986
3821554,20200214,2807905,2807901,18,002-005,4.682
3821555,20200214,2807905,2807901,21,002-005,24.801
3821556,20200214,2807905,2807901,5,002-005,4.913
3821557,20200214,2807905,2807901,8,002-005,4.629
3821558,20200214,2807905,2807901,10,005-010,4.913
3821559,20200214,2807905,2807901,13,005-010,4.385
3821560,20200214,2807905,2807901,17,002-005,9.115
3821561,20200214,2807905,2807901,18,002-005,4.066
3821562,20200214,2807905,2807901,20,005-010,8.13
3821563,20200214,2807905,2807901,21,002-005,3.653
3821564,20200214,2807905,2807901,23,005-010,4.629
3821565,20200214,2807905,2807901,15,002-005,7.623
3821566,20200214,2807905,2807901,20,002-005,27.778
3821567,20200214,2807905,2807901,20,005-010,10.023
3821568,20200214,2807905,2807901,21,002-005,11.385
3821569,20200214,2807905,2807901,20,002-005,8.892
3821570,20200214,2807905,2807901,9,005-010,6.382
